Experiment,ID,toptag_nomatch,toptag_topmatch,topag_botmatch,topag_allmatch,bottag_nomatch,bottag_topmatch,bottag_botmatch,bottag_allmatch,empty,nomatch,other_matches,tagged_matches,both_match
3,2,-0.850214,-0.791578,-1.14339,-0.908849,0.850214,0.791578,1.20203,0.850214,,0,-0.175906,0.205224,-0.0293177
3,4,0.839701,1.59074,0.547631,0.297285,-0.787546,-1.37169,-0.912718,-0.203406,,0.0260777,-0.412027,0.33901,0.0469398
3,5,0.717659,0.778413,0.839167,1.3252,-0.710064,-1.07459,-0.953081,-0.922704,,0.00379714,-0.117711,-0.0873341,0.201248
3,6,1.36298,1.51235,-0.0560129,0.0933549,-0.690826,-0.0560129,-1.17627,-0.989562,,0.336078,-0.0560129,0.168039,-0.448104
3,7,0.58809,1.88189,0.823326,-0.235236,-0.705708,-0.705708,-0.705708,-0.940944,,-0.058809,0.058809,0.58809,-0.58809
3,8,0.351505,0.959514,-0.0285004,0.883513,-0.0285004,-1.16852,0.807512,-1.77653,,0.161502,-0.598509,0.883513,-0.446507
3,9,-0.814174,2.11685,0.162835,0.488504,-0.488504,-0.162835,-0.162835,-1.13984,,-0.651339,0,0.977008,-0.325669
3,11,-0.691985,-0.0556769,-0.628354,-0.691985,-0.501092,-0.0556769,2.29866,0.326108,,-0.596539,-0.342015,1.12149,-0.182938
3,12,-0.719117,-0.719117,-0.719117,-0.52074,2.25654,0.0743914,0.272769,0.0743914,,0.768711,-0.322363,-0.223174,-0.223174
3,14,-0.65913,-0.470807,0.235404,0.423726,-0.894533,-1.27118,1.64782,0.988695,,-0.776832,-0.517888,0.588509,0.706211
3,15,-1.49412,-0.382216,-0.75285,-0.227785,1.87247,0.359052,0.606141,0.0193038,,0.189178,-0.196899,0.111962,-0.104241
3,16,0.377613,0.987896,0.987896,1.26252,-1.02604,-0.96501,-0.873468,-0.751411,,-0.324213,0.0114428,0.0572141,0.255556
3,17,1.72712,1.03627,0.115142,-0.345425,-0.345425,-1.26656,0.115142,-1.03627,,0.690849,-0.575708,0.575708,-0.690849
3,18,-0.45215,-1.08516,-1.26602,-0.0904299,0.904299,1.17559,1.26602,-0.45215,,0.226075,-0.045215,0.0904299,-0.27129
3,20,0.937828,0.802645,-0.301344,1.70386,-0.729422,-0.729422,-0.842074,-0.842074,,0.104203,-0.515383,-0.0197141,0.430894
3,21,2.0223,0.857456,0.210319,-0.30739,-0.436817,-0.825099,-0.695672,-0.825099,,0.792742,-0.30739,0.0808921,-0.566244
3,22,1.46167,0.791352,-0.325851,1.16375,-1.29409,-0.698252,-0.474811,-0.623772,,0.0837902,-0.512051,0.15827,0.269991
3,23,0.649218,1.43184,-0.0622538,1.2184,-0.489137,-1.3429,-0.773725,-0.631431,,0.0800406,-0.702578,0.329056,0.293482
3,24,-0.747368,1.81504,0.220652,0.960902,-0.918195,-0.121002,-1.14596,-0.0640601,,-0.832782,0.0498245,0.334536,0.448421
3,25,1.40712,1.15128,0.596962,0.383761,-0.895443,-0.724882,-0.852803,-1.066,,0.255841,-0.0639602,0.149241,-0.341121
